"","BOROUGH","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","SALE.PRICE"
"1",1,"1633","6440",1900,5,0,5,"6625000"
"4",1,"2272","6794",1913,10,0,10,"3936272"
"5",1,"2369","4615",1900,6,0,6,"8000000"
"175",1,"1779","3713",1910,5,1,6,"4750000"
"196",1,"1218","3586",1899,0,1,1,"3700000"
"207",1,"1975","3855",1901,1,0,1,"7425000"
"215",1,"2469","3725",1901,3,0,3,"8300000"
"224",1,"1566","6330",1901,9,0,9,"416790"
"225",1,"1566","6330",1901,9,0,9,"630370"
"231",1,"2581","7650",1920,8,1,9,"6450000"
"233",1,"1952","5955",1920,8,1,9,"5750000"
"235",1,"2469","19892",2014,6,1,7,"4600000"
"930",1,"6468","14056",1953,1,1,1,"42400000"
"939",1,"1675","3909",1910,0,1,1,"8818181"
"948",1,"1852","3980",1920,0,3,3,"9174156"
"950",1,"4937","45449",1921,0,19,19,"33000000"
"952",1,"2271","5260",1900,0,1,1,"4300000"
"953",1,"17281","170750",1900,0,10,10,"92007576"
"961",1,"12343","21183",1920,0,1,1,"50350000"
"963",1,"2496","5802",1920,35,0,35,"7995000"
"1079",1,"892","1784",1920,1,3,4,"3000000"
"1125",1,"3828","24423",1920,18,1,19,"21250000"
"1423",1,"4764","20700",1920,0,5,5,"3150000"
"1795",1,"1275","2640",1899,2,0,2,"4000000"
"1797",1,"4163","9187",1920,20,0,20,"5292000"
"1804",1,"2144","7495",1920,21,0,21,"5381394"
"1805",1,"2425","7000",1900,24,0,24,"6354000"
"1806",1,"2425","7000",1900,24,0,24,"6354000"
"1956",1,"3334","14131",1920,2,2,4,"9100000"
"1957",1,"2277","5794",1900,2,1,3,"4550000"
"2052",1,"5925","64300",1911,0,17,17,"54000000"
"2060",1,"7266","81375",1907,0,12,12,"5000000"
"2063",1,"6994","79465",1913,0,15,15,"220000"
"2070",1,"4938","80185",1913,0,9,9,"51000000"
"2091",1,"17623","400531",1929,476,6,482,"239114603"
"2558",1,"42762","993569",1983,0,1,1,"652000000"
"2567",1,"6497","119467",1902,0,2,2,"93550000"
"2568",1,"5646","74863",1900,0,3,3,"51100000"
"2999",1,"1392","5118",1910,4,1,5,"6625000"
"3031",1,"2711","9798",1913,0,1,1,"29500000"
"3036",1,"987","3780",1915,0,4,4,"4650000"
"3063",1,"1619","2520",1910,2,0,2,"7000000"
"3069",1,"2888","7800",1900,6,0,6,"23094093"
"3072",1,"2116","6932",1920,4,1,5,"8700000"
"3508",1,"3216","37025",1914,0,6,6,"52400621"
"3538",1,"2138","7000",1900,1,0,1,"20650000"
"3539",1,"1976","6202",1900,1,0,1,"21000000"
"3541",1,"1996","3200",1901,1,0,1,"9500000"
"3549",1,"3731","15925",1880,42,0,42,"22112000"
"3559",1,"2452","8628",1900,19,0,19,"8500000"
"3561",1,"4171","27184",1912,36,0,36,"37750000"
"4154",1,"1852","5003",1901,0,2,2,"9300000"
"4162",1,"7742","54328",1900,0,1,1,"32250000"
"4175",1,"925","2337",1910,1,1,2,"4065000"
"4180",1,"757","1854",1900,1,1,2,"5550000"
"4182",1,"1368","4200",1920,2,1,3,"9750000"
"4186",1,"943","2684",1899,2,0,2,"3950000"
"4190",1,"1672","3700",1899,2,0,2,"7400000"
"4195",1,"2996","5750",1910,3,0,3,"27400000"
"4200",1,"2171","3524",1900,5,0,5,"313000"
"4201",1,"2395","2395",1915,4,0,4,"6500000"
"4209",1,"1825","7145",1900,11,0,11,"6260000"
"4213",1,"4825","20073",1905,33,4,37,"21000000"
"4217",1,"5518","22686",1910,36,0,36,"20000000"
"4230",1,"3862","17826",1940,21,6,27,"24991000"
"4801",1,"1549","3036",1910,1,0,1,"2300000"
"4805",1,"1699","3620",1910,1,0,1,"3050000"
"4807",1,"1488","3951",1899,1,0,1,"2200000"
"4808",1,"1431","3591",1899,1,0,1,"2100000"
"4816",1,"2498","3000",1909,2,0,2,"3750000"
"4817",1,"1686","3416",1900,2,0,2,"2450000"
"4819",1,"1615","3328",1998,2,0,2,"2800000"
"4820",1,"1817","5004",1900,2,0,2,"3500000"
"4822",1,"2377","4002",1910,2,1,3,"3650000"
"4826",1,"1665","3460",1914,2,0,2,"2175000"
"4828",1,"1749","2625",1910,2,0,2,"850000"
"4829",1,"1599","3200",1899,2,0,2,"2000000"
"4830",1,"1615","3840",1899,2,0,2,"500000"
"4833",1,"1598","2340",1899,2,0,2,"2460000"
"4835",1,"1699","4000",1910,2,0,2,"2950000"
